year,aldermanic,parcels,own_ocp,landlord,median_value,median_value_adj,pct_own_ocp,pct_landlord
2010,5,11525,10044,1416,133600,186893.85126082532,87.14967462039046,12.286334056399133
2010,6,9433,5116,4120,59700,83514.69251700053,54.23513198346232,43.67645499840984
2010,7,11229,7341,3677,87700,122684.0625417244,65.37536735239114,32.745569507525154
2010,8,7164,5347,1738,99500,139191.15419500088,74.63707426018983,24.260189838079285
2010,9,8635,6846,1719,115000,160874.19831583017,79.28199189345686,19.90735379270411
2010,NA,3,3,0,61200,85613.05162546788,100,0
2011,1,10517,7024,3337,82700,111774.82229121999,66.78710658933156,31.729580678900827
2011,10,10196,7968,2136,129200,174622.8178963195,78.14829344841114,20.94939191839937
2011,11,11377,10246,1079,147200,198951.07425958384,90.05889074448449,9.484046761009052
2011,12,6561,3859,2600,74400,100556.79296815922,58.81725346745923,39.62810547172687
2011,13,10344,9394,906,143000,193274.48110815548,90.81593194122196,8.758700696055685
2011,14,11485,9263,2140,141400,191111.96943142088,80.65302568567697,18.632999564649545
2011,15,8238,4014,4035,54600,73795.71096856846,48.72541879096868,48.980335032774946
