year,city_nhood,parcels,own_ocp,landlord,median_value,median_value_adj,pct_own_ocp,pct_landlord
1992,MUSKEGO WAY,1931,1285,642,31200,67664.8051391863,66.5458311755567,33.24702226825479
1992,"NASH PARK",865,812,53,58600,127088.38401142042,93.87283236994219,6.127167630057803
1992,"NATIONAL PARK",458,364,92,50900,110389.05710206996,79.47598253275109,20.087336244541483
1992,NEW COELN,159,148,11,73600,159619.5403283369,93.08176100628931,6.918238993710692
1992,NORTH DIVISION,2120,1028,1072,17400,37736.14132762313,48.490566037735846,50.56603773584906
1992,NORTH GRANVILLE,29,25,4,66150,143462.39935760174,86.20689655172413,13.793103448275861
1992,NORTH MEADOWS,623,365,256,28500,61809.197002141336,58.58747993579454,41.091492776886035
1992,NORTHPOINT,519,432,87,159800,346565.2519628837,83.23699421965318,16.76300578034682
1992,NORTHRIDGE,216,127,89,68050,147583.01249107782,58.79629629629629,41.2037037037037
1992,NORTHRIDGE LAKES,337,271,64,53900,116895.28836545326,80.41543026706232,18.991097922848667
1992,OLD NORTH MILWAUKEE,3168,2379,777,33700,73086.66452533905,75.09469696969697,24.526515151515152
1992,PARK KNOLL,343,328,14,76100,165041.39971448967,95.6268221574344,4.081632653061225
1992,PARK PLACE,33,31,2,85200,184776.96788008566,93.93939393939394,6.0606060606060606
1992,PARK VIEW,140,122,18,34650,75146.97109207709,87.14285714285714,12.857142857142856
1992,PARK WEST,1905,1008,884,19800,42941.12633832977,52.91338582677165,46.40419947506562
1992,PARKWAY HILLS,153,143,10,69400,150510.8165596003,93.4640522875817,6.535947712418301
1992,PHEASANT RUN,491,461,30,72600,157450.79657387582,93.89002036659878,6.109979633401222
1992,POLLBER HEIGHTS,75,66,9,65000,140968.34403997147,88,12
1992,POLONIA,1153,944,209,52200,113208.4239828694,81.8733738074588,18.1266261925412
1992,RED OAK HEIGHTS,236,233,3,91900,199307.55103497504,98.72881355932203,1.2711864406779663
1992,RIDGEVIEW,89,82,7,74500,161571.4097073519,92.13483146067416,7.865168539325842
1992,RIVER BEND,505,484,21,82400,178704.4853675946,95.84158415841584,4.1584158415841586
1992,RIVERSIDE PARK,228,153,75,64150,139124.91184867953,67.10526315789474,32.89473684210527
1992,RIVERTON HEIGHTS,328,287,41,68000,147474.57530335477,87.5,12.5
1992,RIVERWEST,2586,1697,888,34400,74604.78515346182,65.62258313998454,34.33874709976798
1992,ROLLING GREEN,493,444,49,80700,175017.62098501073,90.06085192697769,9.939148073022313
1992,ROOSEVELT GROVE,1494,1115,372,40800,88484.74518201286,74.63186077643908,24.899598393574294
1992,ROOT CREEK,494,450,44,76050,164932.9625267666,91.09311740890689,8.906882591093117
1992,RUFUS KING,1413,1206,202,36600,79376.02141327623,85.35031847133759,14.295824486907287
1992,SAINT JOSEPH,1678,1174,497,48500,105184.07209136333,69.9642431466031,29.61859356376639
1992,SAVELAND PARK,604,563,41,63900,138582.72591006424,93.21192052980133,6.788079470198675
1992,SERVITE WOODS,403,341,61,58100,126004.01213418988,84.61538461538461,15.136476426799009
1992,SHERMAN PARK,1775,1187,582,33300,72219.16702355462,66.87323943661971,32.7887323943662
1992,SILVER CITY,870,627,242,42300,91737.86081370451,72.06896551724138,27.816091954022987
1992,SILVER SPRING,2627,2131,491,43800,94990.97644539615,81.11914731633043,18.690521507422915
1992,SILVER SWAN,500,421,79,56900,123401.51962883656,84.2,15.8
1992,SOUTHGATE,478,417,61,65350,141727.40435403286,87.23849372384937,12.761506276150628
1992,SOUTHPOINT,537,474,63,63800,138365.85153461815,88.26815642458101,11.731843575418994
1992,ST. AMELIAN'S,582,528,54,66500,144221.45967166312,90.72164948453609,9.278350515463918
1992,STORY HILL,524,464,60,77750,168619.8269093505,88.54961832061069,11.450381679389313
