year,owner_type2,aldermanic,parcels,median_value,median_value_adj
1994,City of Milwaukee landlord,10,989,51700,106210.81609195402
1994,City of Milwaukee landlord,11,458,97900,201122.6091954023
1994,City of Milwaukee landlord,12,1515,30000,61631.03448275862
1994,City of Milwaukee landlord,13,398,87450,179654.4655172414
1994,City of Milwaukee landlord,14,1059,63800,131068.66666666667
1994,City of Milwaukee landlord,15,3573,17400,35746
1994,City of Milwaukee landlord,2,637,51000,104772.75862068965
1994,City of Milwaukee landlord,3,1084,75200,154488.45977011495
1994,City of Milwaukee landlord,4,435,27600,56700.551724137935
1994,City of Milwaukee landlord,5,486,76200,156542.8275862069
1994,City of Milwaukee landlord,6,3213,19800,40676.48275862069
1994,City of Milwaukee landlord,7,1958,35700,73340.93103448275
1994,City of Milwaukee landlord,8,969,43500,89365
1994,City of Milwaukee landlord,9,551,53900,110730.42528735632
1994,bank,1,10,32550,66869.6724137931
1994,bank,10,4,54650,112271.2011494253
1994,bank,11,1,64500,132506.72413793104
1994,bank,12,3,28400,58344.0459770115
1994,bank,13,1,56500,116071.7816091954
1994,bank,15,17,22400,46017.83908045977
1994,bank,2,3,48400,99431.40229885057
1994,bank,3,2,144900,297677.8965517241
1994,bank,4,3,38200,78476.85057471265
1994,bank,6,3,25200,51770.06896551724
1994,bank,7,10,50800,104361.88505747127
1994,bank,8,4,51750,106313.53448275862
1994,bank,9,1,25000,51359.19540229885
1994,outside WI landlord,1,158,38600,79298.59770114943
1994,outside WI landlord,10,59,57600,118331.58620689655
1994,outside WI landlord,11,41,82700,169896.2183908046
1994,outside WI landlord,12,59,30400,62452.7816091954
1994,outside WI landlord,13,34,76550,157261.8563218391
1994,outside WI landlord,14,71,64900,133328.4712643678
1994,outside WI landlord,15,113,23500,48277.64367816092
1994,outside WI landlord,2,80,47300,97171.59770114943
1994,outside WI landlord,3,91,71900,147709.0459770115
1994,outside WI landlord,4,32,72050,148017.2011494253
1994,outside WI landlord,5,73,76100,156337.3908045977
1994,outside WI landlord,6,130,22150,45504.24712643678
1994,outside WI landlord,7,140,42850,88029.66091954024
1994,outside WI landlord,8,53,43200,88748.68965517242
1994,outside WI landlord,9,100,43800,89981.3103448276
1994,owner occupied,1,8428,37000,76011.6091954023
1994,owner occupied,10,8514,61100,125521.8735632184
1994,owner occupied,11,10371,85300,175237.5747126437
1994,owner occupied,12,4008,32300,66356.08045977012
1994,owner occupied,13,9594,81200,166814.66666666666
1994,owner occupied,14,9632,68500,140724.19540229885
1994,owner occupied,15,4516,20200,41498.22988505747
1994,owner occupied,2,8148,50600,103951.01149425287
1994,owner occupied,3,4220,90900,186742.03448275864
1994,owner occupied,4,813,49500,101691.20689655172
1994,owner occupied,5,10200,71400,146681.8620689655
1994,owner occupied,6,5511,24100,49510.2643678161
1994,owner occupied,7,8624,41000,84229.08045977012
1994,owner occupied,8,5510,49400,101485.77011494253
1994,owner occupied,9,6786,65300,134150.2183908046
1994,owner occupied,NA,5,27100,55673.36781609195
1994,rest of Wisconsin landlord,1,104,33450,68718.60344827586
1994,rest of Wisconsin landlord,10,77,53000,108881.49425287357
1994,rest of Wisconsin landlord,11,40,92450,189926.30459770115
1994,rest of Wisconsin landlord,12,111,29800,61220.160919540234
1994,rest of Wisconsin landlord,13,39,74200,152434.091954023
1994,rest of Wisconsin landlord,14,82,65800,135177.4022988506
